# E_Mean  E_Lower  E_Upper  FastNeutron  AtmosphericCC  AtmosphericNC  Accidental  Spallation  Reactor
14.95  14.90  15.00    0.1449    0.0437    0.4071    0.0000    0.0000    0.0000
15.05  15.00  15.10    0.1449    0.0439    0.4074    0.0000    0.0000    0.0000
15.15  15.10  15.20    0.1449    0.0441    0.4076    0.0000    0.0000    0.0000
15.25  15.20  15.30    0.1449    0.0443    0.4078    0.0000    0.0000    0.0000
15.35  15.30  15.40    0.1449    0.0444    0.4081    0.0000    0.0000    0.0000
15.45  15.40  15.50    0.1449    0.0446    0.4083    0.0000    0.0000    0.0000
15.55  15.50  15.60    0.1449    0.0448    0.4085    0.0000    0.0000    0.0000
15.65  15.60  15.70    0.1449    0.0449    0.4088    0.0000    0.0000    0.0000
15.75  15.70  15.80    0.1449    0.0451    0.4090    0.0000    0.0000    0.0000
15.85  15.80  15.90    0.1449    0.0453    0.4092    0.0000    0.0000    0.0000
15.95  15.90  16.00    0.1449    0.0455    0.4094    0.0000    0.0000    0.0000
16.05  16.00  16.10    0.1449    0.0456    0.4094    0.0000    0.0000    0.0000
16.15  16.10  16.20    0.1449    0.0458    0.4091    0.0000    0.0000    0.0000
16.25  16.20  16.30    0.1449    0.0460    0.4081    0.0000    0.0000    0.0000
16.35  16.30  16.40    0.1449    0.0461    0.4060    0.0000    0.0000    0.0000
16.45  16.40  16.50    0.1449    0.0463    0.4032    0.0000    0.0000    0.0000
16.55  16.50  16.60    0.1449    0.0465    0.4001    0.0000    0.0000    0.0000
16.65  16.60  16.70    0.1449    0.0466    0.3968    0.0000    0.0000    0.0000
16.75  16.70  16.80    0.1449    0.0468    0.3935    0.0000    0.0000    0.0000
16.85  16.80  16.90    0.1449    0.0470    0.3902    0.0000    0.0000    0.0000
16.95  16.90  17.00    0.1449    0.0472    0.3869    0.0000    0.0000    0.0000
17.05  17.00  17.10    0.1449    0.0473    0.3836    0.0000    0.0000    0.0000
17.15  17.10  17.20    0.1449    0.0475    0.3803    0.0000    0.0000    0.0000
17.25  17.20  17.30    0.1449    0.0477    0.3770    0.0000    0.0000    0.0000
17.35  17.30  17.40    0.1449    0.0478    0.3736    0.0000    0.0000    0.0000
17.45  17.40  17.50    0.1449    0.0480    0.3703    0.0000    0.0000    0.0000
17.55  17.50  17.60    0.1449    0.0482    0.3670    0.0000    0.0000    0.0000
17.65  17.60  17.70    0.1449    0.0483    0.3637    0.0000    0.0000    0.0000
17.75  17.70  17.80    0.1449    0.0485    0.3604    0.0000    0.0000    0.0000
17.85  17.80  17.90    0.1449    0.0487    0.3571    0.0000    0.0000    0.0000
17.95  17.90  18.00    0.1449    0.0489    0.3538    0.0000    0.0000    0.0000
18.05  18.00  18.10    0.1449    0.0490    0.3504    0.0000    0.0000    0.0000
18.15  18.10  18.20    0.1449    0.0492    0.3471    0.0000    0.0000    0.0000
18.25  18.20  18.30    0.1449    0.0494    0.3438    0.0000    0.0000    0.0000
18.35  18.30  18.40    0.1449    0.0495    0.3405    0.0000    0.0000    0.0000
18.45  18.40  18.50    0.1449    0.0497    0.3373    0.0000    0.0000    0.0000
